                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.2963,                 2.1987,                 1.9415,                0.34154,                0.42402,                0.38252,                0.26348,                 1.2123,                 1.9994,                 1.9175,              0.0004555,              0.0004555,              0.0004555
                     58,                 1.2932,                 2.2249,                 1.9328,                0.54695,                0.35802,                0.41794,                0.29271,                 1.1815,                 1.9136,                 1.8889,              0.0004456,              0.0004456,              0.0004456
                     59,                 1.2892,                 2.2282,                 1.9354,                0.47771,                 0.3941,                 0.3917,                0.27454,                 1.2173,                 2.0019,                 1.9304,              0.0004357,              0.0004357,              0.0004357
                     60,                 1.2687,                 2.1014,                 1.9078,                 0.3329,                0.41609,                 0.3781,                0.26272,                 1.2131,                 1.9769,                 1.9042,              0.0004258,              0.0004258,              0.0004258
                     61,                 1.2653,                 2.1387,                 1.8754,                0.38799,                0.44579,                0.41059,                0.28328,                 1.1673,                 1.8899,                 1.8416,              0.0004159,              0.0004159,              0.0004159
                     62,                 1.2787,                 2.1493,                 1.9116,                0.43797,                0.46385,                0.43377,                0.31108,                  1.169,                 1.9251,                  1.862,               0.000406,               0.000406,               0.000406
                     63,                 1.2283,                 2.0724,                 1.8652,                0.43105,                0.44263,                0.44999,                0.31362,                 1.1613,                 1.8795,                 1.8516,              0.0003961,              0.0003961,              0.0003961
                     64,                 1.2341,                 2.0708,                 1.8534,                0.41565,                0.40372,                0.42646,                0.29148,                 1.1618,                 1.9317,                 1.8628,              0.0003862,              0.0003862,              0.0003862
                     65,                 1.2651,                 2.1023,                 1.8902,                0.42979,                0.47768,                0.44637,                0.31994,                 1.0895,                 1.8123,                 1.7823,              0.0003763,              0.0003763,              0.0003763
                     66,                 1.2047,                 2.0369,                 1.8348,                0.42161,                 0.4784,                0.45399,                 0.3302,                 1.1254,                 1.8139,                 1.8064,              0.0003664,              0.0003664,              0.0003664
                     67,                 1.2126,                 2.0574,                 1.8513,                0.43704,                0.49074,                0.45409,                   0.33,                 1.1274,                 1.7991,                  1.818,              0.0003565,              0.0003565,              0.0003565
                     68,                 1.1953,                  2.076,                 1.8416,                0.42634,                0.50398,                0.44785,                0.33074,                 1.1314,                 1.8357,                 1.8328,              0.0003466,              0.0003466,              0.0003466
                     69,                 1.2233,                 2.0834,                 1.8372,                0.38329,                0.50789,                0.47039,                0.34079,                 1.0569,                 1.7384,                 1.7578,              0.0003367,              0.0003367,              0.0003367
                     70,                 1.2208,                  2.062,                 1.8455,                 0.4655,                0.46166,                0.48214,                 0.3403,                 1.0968,                 1.7611,                 1.7748,              0.0003268,              0.0003268,              0.0003268
                     71,                 1.2064,                 2.0566,                 1.8298,                0.42684,                0.52478,                0.49237,                0.35185,                 1.0808,                  1.766,                 1.7591,              0.0003169,              0.0003169,              0.0003169
                     72,                 1.1881,                 2.0099,                 1.8115,                0.52383,                0.48909,                0.51608,                0.36267,                 1.0553,                 1.6773,                   1.73,               0.000307,               0.000307,               0.000307
                     73,                 1.1585,                 1.9512,                 1.7967,                0.43578,                0.43504,                 0.4341,                0.31247,                 1.1243,                 1.7687,                 1.7863,              0.0002971,              0.0002971,              0.0002971
                     74,                 1.2093,                 2.0619,                 1.8366,                0.51367,                  0.483,                  0.503,                0.35851,                 1.0841,                 1.7619,                  1.751,              0.0002872,              0.0002872,              0.0002872
                     75,                 1.1889,                 2.0393,                 1.8157,                0.52078,                0.44822,                0.48429,                0.33306,                 1.1361,                 1.7614,                 1.8051,              0.0002773,              0.0002773,              0.0002773
                     76,                 1.2033,                 2.0095,                 1.8336,                 0.4678,                 0.5016,                 0.5085,                0.37446,                 1.0243,                 1.6649,                  1.698,              0.0002674,              0.0002674,              0.0002674
                     77,                 1.1762,                 1.9982,                 1.8056,                0.52372,                0.48961,                0.52649,                0.38597,                 1.0538,                 1.6928,                 1.7236,              0.0002575,              0.0002575,              0.0002575
                     78,                  1.118,                 1.9584,                 1.7718,                 0.5473,                0.50171,                0.51639,                0.37043,                 1.0682,                 1.6747,                 1.7455,              0.0002476,              0.0002476,              0.0002476
                     79,                 1.1321,                 1.9442,                 1.7524,                0.52809,                0.48349,                0.50996,                0.37162,                 1.0237,                 1.6588,                 1.7142,              0.0002377,              0.0002377,              0.0002377
                     80,                 1.1541,                 1.9569,                 1.7735,                0.52507,                0.52007,                0.56339,                0.40218,                   1.06,                 1.6347,                 1.7123,              0.0002278,              0.0002278,              0.0002278
                     81,                 1.1382,                  1.913,                 1.7593,                0.60467,                0.48993,                0.56619,                0.41383,                 1.0217,                 1.5948,                 1.6899,              0.0002179,              0.0002179,              0.0002179
                     82,                 1.1151,                 1.8829,                 1.7578,                0.48138,                0.53906,                0.54492,                 0.4009,                 1.0237,                 1.5879,                 1.6903,               0.000208,               0.000208,               0.000208
                     83,                 1.0923,                 1.8737,                 1.7331,                0.49769,                0.56523,                0.57078,                0.41294,                 1.0245,                   1.59,                 1.6939,              0.0001981,              0.0001981,              0.0001981
                     84,                 1.1592,                 1.9318,                 1.7831,                0.61744,                0.52948,                0.59975,                 0.4425,                 1.0326,                  1.536,                 1.6787,              0.0001882,              0.0001882,              0.0001882
                     85,                 1.1228,                 1.8906,                 1.7469,                0.56862,                0.56783,                0.60051,                0.45042,                0.95605,                 1.4793,                  1.613,              0.0001783,              0.0001783,              0.0001783
                     86,                 1.1407,                 1.8791,                 1.7773,                0.54896,                0.54664,                 0.5966,                0.43616,                0.99123,                 1.5131,                 1.6438,              0.0001684,              0.0001684,              0.0001684
                     87,                 1.1342,                 1.9151,                 1.7685,                0.56302,                0.55727,                0.60003,                0.43877,                0.99008,                 1.4985,                 1.6461,              0.0001585,              0.0001585,              0.0001585
                     88,                 1.1291,                 1.8555,                  1.757,                  0.748,                0.46195,                0.61358,                0.44461,                0.96134,                 1.5027,                  1.614,              0.0001486,              0.0001486,              0.0001486
                     89,                 1.1152,                 1.8638,                 1.7443,                0.59239,                0.55596,                 0.6079,                0.45409,                0.94505,                 1.4521,                 1.6123,              0.0001387,              0.0001387,              0.0001387
                     90,                 1.1123,                 1.8303,                 1.7299,                0.59766,                0.55474,                0.60941,                0.46315,                0.94656,                 1.4443,                 1.6125,              0.0001288,              0.0001288,              0.0001288
                     91,                  1.079,                 1.9172,                 1.7701,                 0.5788,                0.54529,                0.61917,                0.45494,                 1.0673,                 1.5185,                 1.7143,              0.0001189,              0.0001189,              0.0001189
                     92,                 1.0222,                  1.776,                 1.7434,                0.56902,                0.58326,                0.62227,                0.47082,                0.97262,                 1.5346,                  1.645,               0.000109,               0.000109,               0.000109
                     93,                0.99565,                 1.6763,                 1.7043,                0.55456,                0.61035,                 0.6452,                0.48765,                0.92314,                 1.4317,                 1.5761,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                 0.9782,                 1.6113,                 1.6976,                0.64426,                0.56429,                 0.6439,                  0.492,                0.91488,                 1.3953,                 1.5681,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                0.94893,                 1.5877,                 1.6546,                0.61092,                0.59322,                0.64884,                0.50154,                0.90644,                 1.3868,                 1.5581,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                0.99666,                 1.5999,                 1.7046,                0.62622,                0.62853,                0.67062,                0.51603,                 0.9032,                 1.3776,                 1.5521,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                  0.932,                 1.5394,                  1.627,                0.67307,                0.59921,                0.67868,                0.52295,                 0.8976,                 1.3657,                 1.5427,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                0.96104,                 1.5209,                 1.6554,                0.67837,                0.60099,                0.68272,                0.52802,                0.87854,                 1.3489,                 1.5274,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                0.93749,                 1.5385,                 1.6394,                0.59954,                0.64944,                0.68651,                0.54249,                0.85865,                 1.3119,                 1.5057,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                0.91721,                 1.5042,                 1.6277,                0.60157,                0.66921,                 0.6912,                0.54952,                0.85003,                 1.2933,                  1.497,               2.98e-05,               2.98e-05,               2.98e-05
